[[ SECCIÓN: ALUMNOS ]],,,,,,,,,
Alumno,Fichero,Curso,Centro Educativo,Pack,Extras,Método Pago,Estado,Total,Fecha
"Chloe Rodríguez Muñoz","img_alumno_27.jpg","5º Primaria","Maestro Joaquín Cantero","Básico","Ninguno","Efectivo","Pagado","20.94€","2026-05-15"
"Mateo Gómez Martin","img_alumno_28.jpg","6º Primaria","Maestro Joaquín Cantero","Básico","Ninguno","Efectivo","Entregado","28.77€","2026-05-15"
"Julia García Sánchez","img_alumno_29.jpg","6º Primaria","Maestro Joaquín Cantero","Premium","Ninguno","Transferencia","Pendiente","65.08€","2026-05-15"
"Álvaro Martínez Pérez","img_alumno_30.jpg","1º ESO","Maestro Joaquín Cantero","Extra","Ninguno","Efectivo","Entregado","50.41€","2026-05-15"
"Martina Muñoz Romero","img_alumno_31.jpg","1º ESO","Maestro Joaquín Cantero","Extra","Ninguno","Tarjeta","Pendiente","27.32€","2026-05-15"
"Paula Martínez González","img_alumno_32.jpg","4º Primaria","Maestro Joaquín Cantero","Básico","Ninguno","Efectivo","Pendiente","32.97€","2026-05-15"
"Daniel Sánchez Diaz","img_alumno_33.jpg","4º Primaria","Maestro Joaquín Cantero","Básico","Ninguno","Tarjeta","Pendiente","41.87€","2026-05-15"
"Emma López González","img_alumno_34.jpg","4º Primaria","Maestro Joaquín Cantero","Premium","Ninguno","Transferencia","Pendiente","22.51€","2026-05-15"
"Álvaro Álvarez Fernández","img_alumno_35.jpg","4º Primaria","Maestro Joaquín Cantero","Extra","Ninguno","Tarjeta","Entregado","69.87€","2026-05-15"
"Mateo Rodríguez Martin","img_alumno_36.jpg","4º Primaria","Maestro Joaquín Cantero","Básico","Ninguno","Efectivo","Entregado","24.92€","2026-05-15"
"Mateo Sánchez Martínez","img_alumno_37.jpg","6º Primaria","Maestro Joaquín Cantero","Premium","Ninguno","Tarjeta","Entregado","45.29€","2026-05-15"
"Leo Rodríguez Gutiérrez","img_alumno_38.jpg","5º Primaria","Maestro Joaquín Cantero","Premium","Ninguno","Efectivo","Entregado","57.70€","2026-05-15"
"Marta Jiménez Álvarez","img_alumno_39.jpg","5º Primaria","Maestro Joaquín Cantero","Básico","Ninguno","Efectivo","Entregado","48.83€","2026-05-15"
"Marta Muñoz Álvarez","img_alumno_40.jpg","4º Primaria","Maestro Joaquín Cantero","Básico","Ninguno","Tarjeta","Entregado","37.12€","2026-05-15"


[[ SECCIÓN: EQUIPO DOCENTE ]],,,,,,,,,
Nombre completo,Fichero,Puesto / Cargo,Centro Educativo,Curso vinculado,Grupo vinculado,,,,,
"Daniel Martínez Martínez","img_profe_1.jpg","Director/a","Maestro Joaquín Cantero","1º ESO","A","","","","",""
"Hugo Sánchez Martínez","img_profe_2.jpg","Especialista Inglés","Maestro Joaquín Cantero","6º Primaria","A","","","","",""
"Julia Gutiérrez García","img_profe_3.jpg","Especialista Inglés","Maestro Joaquín Cantero","2º ESO","A","","","","",""
"Marta Muñoz Martin","img_profe_4.jpg","Especialista E.F.","Maestro Joaquín Cantero","2º ESO","A","","","","",""
"Daniel Muñoz Fernández","img_profe_5.jpg","Especialista Música","Maestro Joaquín Cantero","4º Primaria","A","","","","",""
"Enzo Romero González","img_profe_6.jpg","Especialista E.F.","Maestro Joaquín Cantero","4º Primaria","A","","","","",""
"Pablo Moreno Sánchez","img_profe_7.jpg","Especialista E.F.","Maestro Joaquín Cantero","6º Primaria","A","","","","",""
